ID beacon'a;Moc rozgłaszania;RSSI;Dystans;Czas;ID urządzenia;Poziom baterii;;;;Dystans;RSSI
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:06;GT-I9515 - 1a88bbcf523c933c;39;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:07;GT-I9515 - 1a88bbcf523c933c;39;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:21;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:22;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:23;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:23;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:37;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:38;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:39;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:54;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:54;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:09;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:10;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:10;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:11;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:26;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:27;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:42;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:42;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:43;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:58;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:50:14;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:50:15;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:50:15;GT-I9515 - 1a88bbcf523c933c;38;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:50:46;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:50:47;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:51:02;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:51:18;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:51:18;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:51:19;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:51:34;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:51:49;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:52:07;GT-I9515 - 1a88bbcf523c933c;37;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:52:22;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:52:22;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:52:37;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:52:38;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:52:38;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:52:39;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:52:54;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:52:54;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:53:10;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:53:11;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:53:27;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:53:27;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:53:41;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:53:57;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:53:58;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:53:58;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:54:15;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:54:30;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:54:30;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:54:30;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:54:31;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:54:46;GT-I9515 - 1a88bbcf523c933c;36;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:02;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:03;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:17;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:18;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:19;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:33;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:34;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:34;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:34;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:35;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:50;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:55:51;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:56:05;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:56:07;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:56:22;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:56:23;GT-I9515 - 1a88bbcf523c933c;35;;;;0,3;-55
