ID beacon'a;Moc rozgłaszania;RSSI;Dystans;Czas;ID urządzenia;Poziom baterii;;;;;Dystans;RSSI
F4:1C:50:21:23:FD;-16;-70;0,3;03-12-2015 14:48:29;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-70
F4:1C:50:21:23:FD;-16;-70;0,3;03-12-2015 14:48:30;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-70
F4:1C:50:21:23:FD;-16;-70;0,3;03-12-2015 14:48:31;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-70
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:48:45;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:48:46;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:49:01;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71
F4:1C:50:21:23:FD;-16;-70;0,3;03-12-2015 14:49:02;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-70
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:49:03;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:49:18;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71
F4:1C:50:21:23:FD;-16;-70;0,3;03-12-2015 14:49:33;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-70
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:49:35;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71
F4:1C:50:21:23:FD;-16;-70;0,3;03-12-2015 14:49:50;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-70
F4:1C:50:21:23:FD;-16;-70;0,3;03-12-2015 14:49:51;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-70
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:49:51;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:50:06;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:50:06;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:50:07;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:50:22;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:50:23;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:50:37;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:50:38;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:50:38;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-71
F4:1C:50:21:23:FD;-16;-70;0,3;03-12-2015 14:50:54;GT-I9515 - 1a88bbcf523c933c;37;;;;;0,3;-70
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:51:10;GT-I9515 - 1a88bbcf523c933c;37;;;;;0,3;-71
F4:1C:50:21:23:FD;-16;-71;0,3;03-12-2015 14:51:10;GT-I9515 - 1a88bbcf523c933c;37;;;;;0,3;-71
