ID beacon'a;Moc rozgłaszania;RSSI;Dystans;Czas;ID urządzenia;Poziom baterii;;;;;;Dystans;RSSI
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:04;GT-I9515 - 1a88bbcf523c933c;39;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:04;GT-I9515 - 1a88bbcf523c933c;39;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:05;GT-I9515 - 1a88bbcf523c933c;39;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:05;GT-I9515 - 1a88bbcf523c933c;39;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:20;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:20;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:37;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:52;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:52;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:53;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:48:53;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-59
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:49:08;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:49:08;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:49:09;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-60
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:49:25;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-60
