ID beacon'a;Moc rozgłaszania;RSSI;Dystans;Czas;ID urządzenia;Poziom baterii;;;;;;Dystans;RSSI;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:48:07;GT-I9515 - 1a88bbcf523c933c;39;;;;;;0,3;-53;;0,3;-52,94244604
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:48:08;GT-I9515 - 1a88bbcf523c933c;39;;;;;;0,3;-53;;0,5;-57,8
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:48:09;GT-I9515 - 1a88bbcf523c933c;39;;;;;;0,3;-53;;0,75;-61,38235294
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:48:24;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;1;-60
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:48:40;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;1,5;-61,05882353
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:48:40;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:48:55;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:49:12;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:49:12;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:49:13;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:49:29;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:49:29;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:49:44;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:49:44;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:49:45;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:50:00;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:50:00;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:50:01;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:50:16;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:50:16;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:50:17;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:50:32;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:50:33;GT-I9515 - 1a88bbcf523c933c;38;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:50:48;GT-I9515 - 1a88bbcf523c933c;37;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:50:48;GT-I9515 - 1a88bbcf523c933c;37;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:50:49;GT-I9515 - 1a88bbcf523c933c;37;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:51:03;GT-I9515 - 1a88bbcf523c933c;37;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:51:19;GT-I9515 - 1a88bbcf523c933c;37;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:51:21;GT-I9515 - 1a88bbcf523c933c;37;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:51:21;GT-I9515 - 1a88bbcf523c933c;37;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:51:35;GT-I9515 - 1a88bbcf523c933c;37;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:51:36;GT-I9515 - 1a88bbcf523c933c;37;;;;;;0,3;-53;;;
