Liczba próbek;Moc rozg³aszania;Œrednia wart, RSSI;Odchylenie standardowe;Dystans;;Wspó³czynnik A;Wspó³czynnik n;Uœrednione n;Uœrednione n - nie uwzzglêdniaj¹c wyników odbiegaj¹cych od normy;;RSSI wyliczone ze wzoru;B³¹d œredniokwadratowy;Uœredniona wartoœæ b³êdu ;;RSSI wyliczone ze wzoru - n bez podejrzanych;B³¹d œredniokwadratowy;Uœredniona wartoœæ b³êdu 
112;-20;-74,05357143;0,580013635;0,3;;-81,72;1,466196253;1,17790882;2,053059921;;-75,56096514;2,272235809;15,38684654;;-70,98498605;32,94130689;31,1920394
37;-20;-79,48648649;5,455857715;0,5;;;0,741957129;;;;-78,17414113;1,722250332;;;-75,53967381;15,57733031;
32;-20;-83;3,644485864;0,75;;;-1,024502116;;;;-80,2483356;7,571656958;;;-79,15493287;14,78454121;
25;-20;-81,72;1,549193338;1;;;;;;;-81,72;0;;;-81,72;0;
29;-20;-82,27586207;0,760072592;1,5;;;0,315667042;;;;-83,79419447;2,305333284;;;-85,33525906;9,359909971;
44;-20;-85,18181818;2,962289561;2;;;1,149991108;;;;-85,26585887;0,007062837;;;-87,90032619;7,390285793;
29;-20;-91,34482759;6,335585287;2,5;;;2,418662958;;;;-86,40737046;24,37848288;;;-89,88994683;2,116678024;
25;-20;-96,88;5,80549168;3;;;3,177389364;;;;-87,34005334;91,01058227;;;-91,51558525;28,77694557;
29;-20;-91,62068966;5,404269066;3,5;;;1,819752099;;;;-88,12862548;12,1945122;;;-92,89004296;1,611257813;
15;-20;-98;6,523976329;4;;;2,704049469;;;;-88,81171774;84,42453092;;;-94,08065238;15,36128576;
35;-20;-88,08571429;9,967088699;4,5;;;0,97452424;;;;-89,41424781;1,76500133;;;-95,13084432;49,63385717;
30;-20;-89,26666667;1,362670447;5;;;1,079683909;;;;-89,95322933;0,471368289;;;-96,07027302;46,28905937;
28;-20;-91,46428571;2,550847976;5,5;;;1,316150294;;;;-90,44079742;1,047528293;;;-96,92008965;29,76579654;
16;-20;-92;1,706455331;6;;;1,321079931;;;;-90,88591221;1,241191605;;;-97,69591144;32,44340718;
15;-20;-96,2;4,683303677;6,5;;;1,781247642;;;;-91,29537813;24,05531574;;;-98,40959832;4,882324717;
30;-20;-89,23333333;7,064936895;7;;;0,889048723;;;;-91,67448435;5,959218282;;;-99,07036915;96,76727367;
57;-20;-97,57894737;8,470695961;7,5;;;1,812324237;;;;-92,0274238;30,81941393;;;-99,68553208;4,43769915;
8;-20;-97,5;2,063063908;8;;;1,747334178;;;;-92,35757661;26,44451835;;;-100,2609786;7,623002671;
62;-20;-96,22580645;2,030016685;8,5;;;1,560739302;;;;-92,6677075;12,66006816;;;-100,8015275;20,93722274;
55;-20;-96,83636364;2,60080469;9;;;1,584121802;;;;-92,96010668;15,02536799;;;-101,3111705;20,02389654;
95;-20;-95,38947368;1,906970798;9,5;;;1,398091814;;;;-93,23669258;4,634466484;;;-101,7932515;41,00837001;
71;-20;-93,66197183;2,054777916;10;;;1,194197183;;;;-93,4990882;0,026531078;;;-102,2505992;73,76452021;
14;-20;-100,9285714;7,503223819;10,5;;;1,88100007;;;;-93,74867882;51,55085787;;;-102,6856282;3,087248548;
43;-20;-99,44186047;2,218568359;11;;;1,701746202;;;;-93,98665629;29,75925262;;;-103,1004158;13,38502741;
54;-20;-96,87037037;2,935008686;11,5;;;1,42833989;;;;-94,21405341;7,056019779;;;-103,4967622;43,90906922;
69;-20;-94,7826087;2,372831728;12;;;1,21041843;;;;-94,43177108;0,123087034;;;-103,8762376;82,69408728;
59;-20;-97,89830508;3,560937093;12,5;;;1,474898113;;;;-94,64059979;10,6126438;;;-104,2402198;40,21988281;
55;-20;-97,76363636;1,407284518;13;;;1,440256035;;;;-94,84123699;8,540418075;;;-104,5899245;46,5982098;
51;-20;-96,84313725;1,596309144;13,5;;;1,337935544;;;;-95,03430115;3,271888047;;;-104,9264296;65,33961468;
68;-20;-96,02941176;1,311528746;14;;;1,248500283;;;;-95,22034322;0,654591913;;;-105,2506953;85,03207079;
