ID beacon'a;Moc rozgÅ‚aszania;RSSI;Dystans;Czas;ID urzÄ…dzenia;Poziom baterii;;;;;Dystans;Przed odsianiem;Po odsianiu;Dystans;Odrzuconych;Wszystkich;Odrzuconych [%];Œr. RSSI;Œr. RSSI po odsianiu
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:04;GT-I9515 - 1a88bbcf523c933c;39;;;;;0,3;-60;-60;0,3;1;117;0,85;-59,30;-59,31
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:04;GT-I9515 - 1a88bbcf523c933c;39;;;;;0,3;-60;-60;0,5;1;21;4,76;-64,38;-64,45
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:05;GT-I9515 - 1a88bbcf523c933c;39;;;;;0,3;-60;-60;0,75;6;31;19,35;-67,71;-68,00
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:05;GT-I9515 - 1a88bbcf523c933c;39;;;;;0,3;-60;-60;1;1;30;3,33;-66,67;-66,62
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:20;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-60;-60;1,5;3;31;9,68;-67,55;-67,29
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:20;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-60;-60;2;6;36;16,67;-70,39;-70,00
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:37;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-60;-60;2,5;3;33;9,09;-76,30;-76,00
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:52;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-60;-60;3;7;38;18,42;-82,55;-83,13
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:52;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-60;-60;3,5;1;35;2,86;-76,51;-76,62
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:48:53;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-60;-60;4;4;55;7,27;-81,78;-81,20
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:48:53;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-59;-59;4,5;1;32;3,13;-73,38;-73,42
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:49:08;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-60;-60;5;10;43;23,26;-73,98;-74,00
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:49:08;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-60;-60;5,5;1;31;3,23;-76,84;-76,77
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:49:09;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-60;-60;6;0;38;0,00;-83,61;-83,61
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:49:25;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-60;-60;6,5;5;32;15,63;-84,34;-84,41
F4:1C:50:21:23:FD;-4;-60;0,3;03-12-2015 14:49:40;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-60;-60;7;8;36;22,22;-74,67;-73,89
F4:1C:50:21:23:FD;-4;-59;0,3;03-12-2015 14:49:41;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-59;-59;7,5;30;126;23,81;-85,75;-83,82
