Liczba próbek;Moc rozg³aszania;RSSI;Odchylenie standardowe;Dystans;RSSI po odsianiu;A;A po odsianiu;A wg excela;A wg excela po odsianiu;;;n;n po odsianiu;Œr. N;Œr. N po odsianiu;N wg excela;n wg excela po odsianiu;;RSSI ze wzoru;;;;;B³¹d œredniokwadratowy;;;;;Œr. Wart. B³êdu;;;
117;-4;-59,30;0,48;0,30;-59,31;-66,67;-66,62;-68,39;-68,34;;;1,41;1,40;1,55;1,53;1,45;1,44;;n ;n po odsianiu;n wg excela;n wg excela po odsianiu;;n;n po odsianiu;n wg excela;n wg excela po odsianiu;;n;n po odsianiu;n wg excela;n wg excela po odsianiu
21;-4;-64,38;5,11;0,50;-64,45;;;;;;;0,76;0,72;1,72;1,64;;;;-58,54;-58,64;-60,81;-60,83;;0,57;0,44;2,30;2,31;;15,50;15,79;14,31;14,43
31;-4;-67,71;3,54;0,75;-68,00;;;;;;;-0,83;-1,10;;;;;;-61,99;-62,03;-64,03;-64,01;;5,71;5,86;0,13;0,19;;;;;
30;-4;-66,67;1,17;1,00;-66,62;;;;;;;;;;;;;;-64,73;-64,71;-66,58;-66,54;;8,90;10,79;1,28;2,12;;;;;
31;-4;-67,55;1,72;1,50;-67,29;;Konwersja ln->log;;;;;0,50;0,38;;;;;;-66,67;-66,62;-68,39;-68,34;;0,00;0,00;2,96;2,95;;;;;
36;-4;-70,39;3,02;2,00;-70,00;;2,30;;;;;1,24;1,12;;;;;;-69,40;-69,31;-70,94;-70,87;;3,44;4,08;11,48;12,82;;;;;
33;-4;-76,30;6,21;2,50;-76,00;;;;;;;2,42;2,36;;;;;;-71,34;-71,21;-72,75;-72,66;;0,91;1,47;5,55;7,08;;;;;
38;-4;-82,55;6,95;3,00;-83,13;;;;;;;3,33;3,46;;;;;;-72,85;-72,69;-74,15;-74,05;;11,94;10,95;4,64;3,79;;;;;
35;-4;-76,51;6,13;3,50;-76,62;;;;;;;1,81;1,84;;;;;;-74,08;-73,90;-75,30;-75,19;;71,82;85,20;52,67;63,03;;;;;
55;-4;-81,78;6,67;4,00;-81,20;;;;;;;2,51;2,42;;;;;;-75,12;-74,92;-76,26;-76,15;;1,95;2,88;0,06;0,22;;;;;
32;-4;-73,38;8,42;4,50;-73,42;;;;;;;1,03;1,04;;;;;;-76,02;-75,80;-77,10;-76,98;;33,21;29,07;21,88;17,74;;;;;
