Liczba próbek;Moc rozgłaszania;Średnia wart, RSSI;Odchylenie standardowe;Dystans;;;;;;Dystans;Średnia wart, RSSI
132;-8;-62,57575758;0,494227468;0,3;;;;;;0,3;-62,57575758
34;-8;-67,79411765;5,262023783;0,5;;;;;;0,5;-67,79411765
33;-8;-71,51515152;3,958739832;0,75;;;;;;0,75;-71,51515152
31;-8;-69,96774194;1,618407327;1;;;;;;1;-69,96774194
27;-8;-70,55555556;0,769700222;1,5;;;;;;1,5;-70,55555556
32;-8;-73,1875;2,672447438;2;;;;;;2;-73,1875
36;-8;-80,05555556;6,94425347;2,5;;;;;;2,5;-80,05555556
32;-8;-86,6875;6,888216813;3;;;;;;3;-86,6875
34;-8;-81,14705882;5,677471767;3,5;;;;;;3,5;-81,14705882
41;-8;-86,2195122;5,87251868;4;;;;;;4;-86,2195122
33;-8;-76,87878788;9,391705668;4,5;;;;;;4,5;-76,87878788
30;-8;-77,73333333;1,458013542;5;;;;;;5;-77,73333333
36;-8;-80,47222222;3,175543115;5,5;;;;;;5,5;-80,47222222
63;-8;-90,58730159;10,98563576;6;;;;;;6;-90,58730159
23;-8;-87,39130435;3,936503762;6,5;;;;;;6,5;-87,39130435
49;-8;-78,02040816;9,533882287;7;;;;;;7;-78,02040816
104;-8;-89,57692308;12,34788228;7,5;;;;;;7,5;-89,57692308
109;-8;-94,57798165;6,145589247;8;;;;;;8;-94,57798165
69;-8;-85,08695652;9,848834084;8,5;;;;;;8,5;-85,08695652
64;-8;-84,984375;2,416278922;9;;;;;;9;-84,984375
99;-8;-83,63636364;1,629294388;9,5;;;;;;9,5;-83,63636364
74;-8;-81,67567568;2,158246958;10;;;;;;10;-81,67567568
91;-8;-90,71428571;9,117637978;10,5;;;;;;10,5;-90,71428571
68;-8;-87,82352941;3,171848712;11;;;;;;11;-87,82352941
58;-8;-84,48275862;3,438640039;11,5;;;;;;11,5;-84,48275862
81;-8;-82,90123457;1,825094488;12;;;;;;12;-82,90123457
76;-8;-87,30263158;4,928880976;12,5;;;;;;12,5;-87,30263158
47;-8;-85,44680851;2,028985422;13;;;;;;13;-85,44680851
47;-8;-85,55319149;0,946987791;13,5;;;;;;13,5;-85,55319149
63;-8;-84,15873016;1,547745979;14;;;;;;14;-84,15873016
61;-8;-91,75409836;7,716682143;14,5;;;;;;14,5;-91,75409836
