ID beacon'a;Moc rozgÅ‚aszania;RSSI;Dystans;Czas;ID urzÄ…dzenia;Poziom baterii;;;;;Dystans;Przed odsianiem;Po odsianiu;Dystans;Odrzuconych;Wszystkich;Odrzuconych [%];Œr. RSSI;Œr. RSSI po odsianiu
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:06;GT-I9515 - 1a88bbcf523c933c;39;;;;;0,3;-55;-55;0,3;7;139;5,04;-54,95;-55,00
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:07;GT-I9515 - 1a88bbcf523c933c;39;;;;;0,3;-55;-55;0,5;6;37;16,22;-60,08;-60,00
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:21;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;0,75;8;26;30,77;-63,62;-64,00
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:22;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;1;1;37;2,70;-62,27;-62,31
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:23;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;1,5;8;38;21,05;-63,24;-63,00
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:23;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;2;7;36;19,44;-66,14;-66,00
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:37;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;2,5;1;38;2,63;-72,42;-72,49
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:38;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;3;19;47;40,43;-80,53;-79,50
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:39;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;3,5;5;32;15,63;-72,84;-73,19
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:54;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;4;7;36;19,44;-79,22;-80,07
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:48:54;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;4,5;2;35;5,71;-69,29;-69,15
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:09;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;5;0;31;0,00;-70,26;-70,26
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:10;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;5,5;0;38;0,00;-72,97;-72,97
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:10;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;6;1;41;2,44;-81,10;-80,55
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:11;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;6,5;3;29;10,34;-79,66;-79,15
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:26;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;7;12;44;27,27;-70,91;-69,97
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:27;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;7,5;4;116;3,45;-81,73;-81,40
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:42;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;8;10;136;7,35;-87,57;-88,06
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:42;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;8,5;12;69;17,39;-77,16;-76,49
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:43;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;9;1;59;1,69;-77,54;-77,40
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:49:58;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;9,5;1;87;1,15;-76,13;-76,10
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:50:14;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;10;0;70;0,00;-74,46;-74,46
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:50:15;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;10,5;14;92;15,22;-82,93;-82,77
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:50:15;GT-I9515 - 1a88bbcf523c933c;38;;;;;0,3;-55;-55;11;2;63;3,17;-80,08;-80,15
F4:1C:50:21:23:FD;0;-55;0,3;03-12-2015 14:50:46;GT-I9515 - 1a88bbcf523c933c;37;;;;;0,3;-55;-55;11,5;9;69;13,04;-77,32;-76,78
