Liczba próbek;Moc rozg³aszania;RSSI;Odchylenie standardowe;Dystans;RSSI po odsianiu;A;A po odsianiu;A wg excela;A wg excela po odsianiu;;;n;n po odsianiu;Œr. N;Œr. N po odsianiu;N wg excela;n wg excela po odsianiu;;RSSI ze wzoru;;;;;B³¹d œredniokwadratowy;;;;;Œr. Wart. B³êdu;;;
139;0;-54,95;0,22;0,30;-55,00;-62,27;-62,31;-64,48;-64,44;;;1,40;1,40;1,60;1,57;1,42;1,41;;n ;n po odsianiu;n wg excela;n wg excela po odsianiu;;n;n po odsianiu;n wg excela;n wg excela po odsianiu;;n;n po odsianiu;n wg excela;n wg excela po odsianiu
37;0;-60,08;5,15;0,50;-60,00;;;;;;;0,73;0,77;1,78;1,70;;;;-53,92;-54,11;-57,05;-57,05;;1,07;0,79;4,42;4,21;;18,22;18,57;16,65;16,96736201
26;0;-63,62;3,74;0,75;-64,00;;;;;;;-1,08;-1,36;;;;;;-57,46;-57,59;-60,20;-60,19;;6,86;5,82;0,01;0,04;;;;;
37;0;-62,27;1,44;1,00;-62,31;;;;;;;;;;;;;;-60,27;-60,35;-62,70;-62,68;;11,16;13,34;0,83;1,75;;;;;
38;0;-63,24;1,34;1,50;-63,00;;Konwersja ln->log;;;;;0,55;0,39;;;;;;-62,27;-62,31;-64,48;-64,44;;0,00;0,00;4,87;4,57;;;;;
36;0;-66,14;2,93;2,00;-66,00;;2,30;;;;;1,29;1,23;;;;;;-65,08;-65,07;-66,98;-66,93;;3,41;4,27;14,00;15,46;;;;;
38;0;-72,42;6,34;2,50;-72,49;;;;;;;2,55;2,56;;;;;;-67,08;-67,02;-68,75;-68,70;;0,88;1,05;6,83;7,28;;;;;
47;0;-80,53;8,35;3,00;-79,50;;;;;;;3,83;3,60;;;;;;-68,63;-68,54;-70,13;-70,07;;14,39;15,55;5,25;5,85;;;;;
32;0;-72,84;7,82;3,50;-73,19;;;;;;;1,94;2,00;;;;;;-69,89;-69,78;-71,25;-71,19;;113,21;94,40;86,10;69,12;;;;;
36;0;-79,22;7,17;4,00;-80,07;;;;;;;2,82;2,95;;;;;;-70,96;-70,83;-72,20;-72,13;;3,54;5,53;0,41;1,11;;;;;
35;0;-69,29;9,98;4,50;-69,15;;;;;;;1,07;1,05;;;;;;-71,89;-71,74;-73,03;-72,95;;53,79;69,34;38,38;50,65;;;;;
31;0;-70,26;1,07;5,00;-70,26;;;;;;;1,14;1,14;;;;;;-72,70;-72,54;-73,75;-73,68;;11,69;11,51;19,96;20,46;;;;;
38;0;-72,97;2,91;5,50;-72,97;;;;;;;1,45;1,44;;;;;;-73,44;-73,26;-74,40;-74,32;;10,10;9,02;17,18;16,51;;;;;
41;0;-81,10;11,11;6,00;-80,55;;;;;;;2,42;2,34;;;;;;-74,10;-73,91;-74,99;-74,91;;1,26;0,88;4,07;3,74;;;;;
29;0;-79,66;2,59;6,50;-79,15;;;;;;;2,14;2,07;;;;;;-74,70;-74,50;-75,53;-75,44;;40,92;36,58;31,02;26,10;;;;;
44;0;-70,91;8,92;7,00;-69,97;;;;;;;1,02;0,91;;;;;;-75,26;-75,05;-76,02;-75,93;;19,35;16,87;13,20;10,38;;;;;
116;0;-81,73;11,61;7,50;-81,40;;;;;;;2,22;2,18;;;;;;-75,77;-75,55;-76,48;-76,39;;23,63;31,17;31,02;41,19;;;;;
136;0;-87,57;8,01;8,00;-88,06;;;;;;;2,80;2,85;;;;;;-76,25;-76,02;-76,90;-76,81;;30,07;28,95;23,32;21,08;;;;;
69;0;-77,16;10,73;8,50;-76,49;;;;;;;1,60;1,53;;;;;;-76,70;-76,46;-77,30;-77,21;;118,15;134,63;105,36;117,87;;;;;
59;0;-77,54;2,05;9,00;-77,40;;;;;;;1,60;1,58;;;;;;-77,12;-76,87;-77,68;-77,58;;0,00;0,15;0,27;1,18;;;;;
87;0;-76,13;1,58;9,50;-76,10;;;;;;;1,42;1,41;;;;;;-77,51;-77,26;-78,03;-77,93;;0,00;0,02;0,24;0,28;;;;;
70;0;-74,46;1,86;10,00;-74,46;;;;;;;1,22;1,22;;;;;;-77,89;-77,63;-78,36;-78,26;;3,11;2,33;5,00;4,65;;;;;
92;0;-82,93;8,59;10,50;-82,77;;;;;;;2,02;2,00;;;;;;-78,24;-77,98;-78,68;-78,58;;14,35;12,41;17,82;16,97;;;;;
63;0;-80,08;3,21;11,00;-80,15;;;;;;;1,71;1,71;;;;;;-78,58;-78,31;-78,98;-78,88;;18,94;19,87;15,65;15,16;;;;;
69;0;-77,32;3,64;11,50;-76,78;;;;;;;1,42;1,36;;;;;;-78,91;-78,63;-79,27;-79,16;;1,38;2,31;0,66;0,97;;;;;
