Liczba próbek;Moc rozgłaszania;Średnia wart, RSSI;Odchylenie standardowe;Dystans;;;;;Dystans;Średnia wart, RSSI;outliers
139;4;-52,94244604;0,312100892;0,3;;;;;0,3;-52,94244604;-53
30;4;-57,8;4,928403776;0,5;;;;;0,5;-57,8;-58
34;4;-61,38235294;3,964400407;0,75;;;;;0,75;-61,38235294;-61,9583
28;4;-60;1,407951784;1;;;;;1;-60;-60
34;4;-61,05882353;1,970368732;1,5;;;;;1,5;-61,05882353;-60,6667
27;4;-63,88888889;2,873357534;2;;;;;2;-63,88888889;-64
41;4;-70,14634146;6,375460142;2,5;;;;;2,5;-70,14634146;-70,0313
44;4;-76,59090909;6,990357397;3;;;;;3;-76,59090909;-76,4706
41;4;-70,24390244;6,505579606;3,5;;;;;3,5;-70,24390244;-70,7143
42;4;-77,57142857;8,262618865;4;;;;;4;-77,57142857;-77,6
34;4;-66,85294118;10,74899141;4,5;;;;;4,5;-66,85294118;-66,6333
40;4;-67,675;1,498384366;5;;;;;5;-67,675;-68
35;4;-70,4;2,919377991;5,5;;;;;5,5;-70,4;-70,129
44;4;-78,38636364;9,789651308;6;;;;;6;-78,38636364;-78,093
29;4;-76,62068966;3,190709141;6,5;;;;;6,5;-76,62068966;-76,4286
29;4;-68,13793103;8,626756486;7;;;;;7;-68,13793103;-67,2381
138;4;-80;12,75061745;7,5;;;;;7,5;-80;-79,7121
148;4;-85,67567568;7,405257446;8;;;;;8;-85,67567568;-86,1304
72;4;-75,73611111;10,27214549;8,5;;;;;8,5;-75,73611111;-74,9833
62;4;-76,35483871;2,389252233;9;;;;;9;-76,35483871;-76,2787
115;4;-74,28695652;2,153432367;9,5;;;;;9,5;-74,28695652;-74,3396
74;4;-72,47297297;2,053163786;10;;;;;10;-72,47297297;-72,2794
81;4;-81,9382716;9,541095967;10,5;;;;;10,5;-81,9382716;-81,6712
62;4;-79,01612903;3,173470519;11;;;;;11;-79,01612903;-79,01612903
83;4;-75,3373494;3,874271084;11,5;;;;;11,5;-75,3373494;-74,7302
78;4;-73,76923077;1,723323579;12;;;;;12;-73,76923077;-73,84
73;4;-78,63013699;5,19468587;12,5;;;;;12,5;-78,63013699;-78,7321
105;4;-76,65714286;2,239028819;13;;;;;13;-76,65714286;-76,65714286
90;4;-75,97777778;1,082660702;13,5;;;;;13,5;-75,97777778;-75,8588
67;4;-74,97014925;1,09248737;14;;;;;14;-74,97014925;-75
62;4;-83,72580645;8,874895505;14,5;;;;;14,5;-83,72580645;-84,0364
